ess8_id,cntry,ess8_reg,nuts1,nuts2,nuts3,lrscale,rlgdgr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
BE000001751,BE,BE21,BE2,BE21,,6,0,3,3,2,3,2,3,4,2,1,3,2,1,3,2,4,2,4,1,3,3,2,
BE000001752,BE,BE25,BE2,BE25,,88,6,3,4,2,2,3,3,3,2,2,2,2,2,2,3,3,4,3,2,3,2,2,
BE000001757,BE,BE21,BE2,BE21,,6,6,1,4,1,1,3,5,3,2,4,1,1,1,1,3,3,4,4,1,2,1,1,
BE000001758,BE,BE23,BE2,BE23,,5,5,2,2,1,2,1,2,3,1,3,2,2,1,2,2,4,3,2,2,3,2,2,
BE000001759,BE,BE25,BE2,BE25,,7,1,2,5,2,2,3,3,4,2,3,2,1,1,2,3,4,3,4,1,2,2,2,
BE000001761,BE,BE21,BE2,BE21,,5,0,2,3,3,3,5,3,3,1,2,2,3,3,3,3,3,4,3,2,2,3,2,
BE000001768,BE,BE22,BE2,BE22,,9,0,2,4,4,4,4,2,3,3,3,3,2,2,3,2,3,3,4,3,2,3,2,
BE000001769,BE,BE21,BE2,BE21,,8,0,3,4,4,4,3,2,4,3,4,4,2,3,4,3,4,3,3,1,3,3,2,
BE000001770,BE,BE22,BE2,BE22,,6,3,1,5,1,3,5,5,5,2,2,2,2,1,3,4,5,1,2,1,1,5,2,
BE000001775,BE,BE21,BE2,BE21,,5,3,5,5,3,5,3,4,2,2,3,3,3,2,6,3,6,2,4,1,3,2,1,
BE000001778,BE,BE24,BE2,BE24,,3,0,3,5,2,3,2,5,5,2,4,3,2,2,5,3,5,3,2,2,2,2,4,
BE000001781,BE,BE33,BE3,BE33,,0,0,4,6,1,6,4,5,5,3,1,2,1,1,5,2,6,3,6,1,1,3,2,
BE000001782,BE,BE10,BE1,BE10,,7,1,3,4,2,2,2,3,3,3,3,2,2,3,2,2,4,3,2,2,2,3,2,
BE000001785,BE,BE25,BE2,BE25,,4,3,2,4,1,5,3,2,3,2,4,3,2,2,4,2,5,5,3,2,2,6,2,
BE000001787,BE,BE32,BE3,BE32,,3,1,5,3,3,3,1,1,2,2,3,2,2,2,2,2,2,4,4,2,2,4,2,
BE000001790,BE,BE25,BE2,BE25,,6,0,2,4,2,4,2,4,5,3,4,3,2,3,4,3,3,3,4,2,1,3,3,
BE000001791,BE,BE32,BE3,BE32,,5,6,2,6,1,6,3,3,4,1,4,1,3,1,4,6,6,4,3,1,1,1,3,
BE000001792,BE,BE24,BE2,BE24,,5,8,1,6,1,2,1,1,5,3,1,1,1,1,1,2,1,2,1,1,1,1,2,
BE000001794,BE,BE24,BE2,BE24,,8,1,1,3,3,2,2,1,1,2,3,1,1,2,1,1,3,1,2,1,1,2,1,
BE000001798,BE,BE24,BE2,BE24,,5,4,5,6,1,4,4,5,1,1,1,4,4,3,5,2,6,1,6,1,1,5,3,
BE000001799,BE,BE23,BE2,BE23,,5,2,3,4,3,2,3,2,6,2,2,2,3,3,4,4,2,3,4,2,4,3,1,
BE000001808,BE,BE33,BE3,BE33,,6,9,2,5,1,2,3,2,5,1,2,3,3,1,2,1,2,4,3,2,1,2,3,
BE000001812,BE,BE24,BE2,BE24,,6,2,2,4,4,3,4,4,3,3,3,3,4,3,3,3,4,3,4,2,3,2,3,
BE000001813,BE,BE33,BE3,BE33,,0,10,3,4,1,3,1,2,2,2,2,2,2,1,3,2,6,1,6,2,2,5,2,
BE000001816,BE,BE24,BE2,BE24,,5,10,2,4,2,2,2,2,2,2,2,2,2,2,2,1,5,2,5,4,2,5,4,
BE000001817,BE,BE23,BE2,BE23,,8,5,3,3,1,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,
BE000001820,BE,BE32,BE3,BE32,,2,0,1,6,1,2,2,1,5,1,2,1,1,1,3,4,2,4,6,1,2,3,1,
BE000001821,BE,BE33,BE3,BE33,,8,10,2,6,1,4,2,2,2,2,1,2,3,1,5,1,4,2,6,1,1,2,3,
BE000001822,BE,BE21,BE2,BE21,,6,6,3,4,3,3,2,3,2,2,3,3,3,3,3,2,4,3,3,2,3,2,2,
BE000001824,BE,BE10,BE1,BE10,,4,7,1,3,1,3,4,1,6,1,1,1,1,2,3,5,2,3,3,1,1,4,2,
BE000001832,BE,BE25,BE2,BE25,,5,5,1,4,2,2,2,3,2,3,2,2,2,3,3,4,4,2,2,1,1,2,4,
BE000001833,BE,BE25,BE2,BE25,,88,0,2,2,2,2,2,2,2,2,5,3,1,2,2,2,5,3,2,1,3,4,3,
BE000001835,BE,BE35,BE3,BE35,,10,10,5,5,1,4,1,4,3,3,1,3,3,3,6,2,6,4,5,3,3,2,3,
BE000001838,BE,BE21,BE2,BE21,,3,10,5,5,2,5,1,6,2,2,2,4,2,2,5,1,6,2,5,2,2,1,3,
BE000001839,BE,BE25,BE2,BE25,,77,6,4,4,4,3,3,4,2,2,2,2,2,2,4,2,4,2,4,2,3,2,2,
BE000001841,BE,BE23,BE2,BE23,,7,7,1,4,3,2,3,1,4,1,3,2,1,2,3,2,2,3,3,1,3,2,1,
BE000001844,BE,BE23,BE2,BE23,,5,1,1,3,2,4,4,2,2,1,4,2,2,3,4,3,2,3,3,1,2,4,3,
BE000001847,BE,BE23,BE2,BE23,,5,7,2,5,2,5,3,2,3,3,2,3,3,2,3,3,4,2,2,2,2,2,3,
BE000001848,BE,BE24,BE2,BE24,,7,0,1,3,3,4,4,2,3,2,4,3,1,3,4,6,2,4,4,2,3,2,2,
BE000001849,BE,BE25,BE2,BE25,,5,0,5,5,2,2,3,2,3,2,3,3,3,2,3,3,4,3,4,1,1,3,3,
BE000001850,BE,BE23,BE2,BE23,,7,4,2,5,4,4,2,3,2,2,2,2,1,1,3,2,4,2,3,1,2,3,2,
BE000001851,BE,BE23,BE2,BE23,,6,6,2,4,2,3,1,2,2,1,2,2,2,1,4,2,2,1,4,2,1,2,2,
BE000001853,BE,BE23,BE2,BE23,,5,8,3,5,3,4,2,4,4,3,2,4,2,1,4,2,5,2,4,2,2,2,2,
BE000001854,BE,BE10,BE1,BE10,,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
BE000001860,BE,BE25,BE2,BE25,,7,10,6,5,2,2,2,3,3,6,2,5,2,1,3,2,5,2,1,1,2,2,4,
BE000001861,BE,BE24,BE2,BE24,,9,0,2,2,3,3,1,3,2,3,3,2,3,2,3,1,4,2,2,2,1,4,3,
BE000001867,BE,BE23,BE2,BE23,,5,5,3,4,4,4,3,3,4,2,2,2,2,3,3,2,3,2,4,2,3,3,2,
